Level: INFO | Data: 2023-10-24 13:55:48,731 | Modulo: signals | Aviso: Usuario: "henrique", realizou "Logout" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-24 15:17:01,283 | Modulo: signals | Aviso: Usuario - "henrique", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-24 15:17:05,887 | Modulo: signals | Aviso: Usuario - "henrique", realizou "Logout" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-24 15:19:14,664 | Modulo: signals | Aviso: Usuario - "henrique", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-24 15:28:37,641 | Modulo: signals | Aviso: Usuario - "henrique", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: ERROR | Data: 2023-10-24 15:45:53,826 | Modulo: views | Aviso: Erro ao deletar objeto - View: ProcessoAdmDelete - Erro: Cannot assign "<SimpleLazyObject: <django.contrib.auth.models.AnonymousUser object at 0x000001D88FB9AF90>>": "Auditoria.usuario" must be a "User" instance.
Level: INFO | Data: 2023-10-24 15:47:58,578 | Modulo: signals | Aviso: Usuario - "henrique", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-24 15:52:25,103 | Modulo: signals | Aviso: Usuario - "henrique", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-24 16:08:14,540 | Modulo: signals | Aviso: Usuario - "henrique", realizou "Logout" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-24 16:16:33,852 | Modulo: signals | Aviso: Usuario - "henrique", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-24 16:17:04,138 | Modulo: signals | Aviso: Usuario - "henrique", realizou "Logout" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-24 16:28:21,760 | Modulo: signals | Aviso: Usuario - "henrique", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-24 16:48:45,731 | Modulo: signals | Aviso: Usuario - "henrique", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-24 16:55:27,877 | Modulo: signals | Aviso: Usuario - "henrique", realizou "Logout" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-24 16:55:29,400 | Modulo: signals | Aviso: Usuario - "henrique", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-25 08:26:25,669 | Modulo: signals | Aviso: Usuario - "administrador", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-25 16:28:51,161 | Modulo: signals | Aviso: Usuario - "administrador", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-25 17:23:31,793 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-26 10:58:36,163 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 10:08:54,645 | Modulo: signals | Aviso: Usuario - "admin", realizou "Logout" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 10:09:07,000 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 14:03:36,706 | Modulo: signals | Aviso: Usuario - "admin", realizou "Logout" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 14:03:39,333 | Modulo: signals | Aviso: Usuario - "teste", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 14:03:48,579 | Modulo: signals | Aviso: Usuario - "teste", realizou "Logout" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 14:03:51,494 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 14:04:28,565 | Modulo: signals | Aviso: Usuario - "admin", realizou "Logout" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 14:04:31,909 | Modulo: signals | Aviso: Usuario - "consultor", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 14:04:41,632 | Modulo: signals | Aviso: Usuario - "consultor", realizou "Logout" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 14:04:44,352 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 14:12:58,398 | Modulo: signals | Aviso: Usuario - "consultor", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 14:15:14,694 | Modulo: signals | Aviso: Usuario - "consultor", realizou "Logout" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 14:15:17,501 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 14:20:28,086 | Modulo: signals | Aviso: Usuario - "admin", realizou "Logout" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 14:20:30,484 | Modulo: signals | Aviso: Usuario - "consultor", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 14:21:46,388 | Modulo: signals | Aviso: Usuario - "consultor", realizou "Logout" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 14:21:50,374 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 14:42:58,638 | Modulo: signals | Aviso: Usuario - "consultor", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 14:44:09,654 | Modulo: signals | Aviso: Usuario - "consultor", realizou "Logout" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 14:44:28,539 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 15:17:02,911 | Modulo: signals | Aviso: Usuario - "admin", realizou "Logout" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 15:23:43,946 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 15:42:35,090 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 15:51:37,968 | Modulo: signals | Aviso: Usuario - "admin", realizou "Logout" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 15:51:42,912 | Modulo: signals | Aviso: Usuario - "consultor", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 15:56:18,708 | Modulo: signals | Aviso: Usuario - "consultor", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 16:10:11,703 | Modulo: signals | Aviso: Usuario - "consultor", realizou "Logout" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 16:10:15,571 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 16:21:31,815 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-27 16:46:54,560 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-30 17:27:47,521 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-10-31 09:26:30,641 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: ERROR | Data: 2023-10-31 09:28:17,602 | Modulo: views | Aviso: Erro ao criar objeto - View: AndamentoAdmCreate - Erro: name 'pythoncom' is not defined
Level: INFO | Data: 2023-10-31 15:40:15,417 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: ERROR | Data: 2023-10-31 15:40:32,437 | Modulo: views | Aviso: Erro ao criar objeto - View: AndamentoAdmCreate - Erro: name 'pythoncom' is not defined
Level: INFO | Data: 2023-11-07 17:05:06,713 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-07 17:06:33,080 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-07 17:09:32,899 | Modulo: signals | Aviso: Usuario - "admin", realizou "Logout" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-07 17:10:16,397 | Modulo: signals | Aviso: Usuario - "poliana", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-07 17:20:18,738 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-07 17:30:28,559 | Modulo: signals | Aviso: Usuario - "admin", realizou "Logout" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-07 17:33:08,517 | Modulo: signals | Aviso: Usuario - "poliana", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-07 17:52:15,939 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-07 21:27:35,446 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-07 21:30:37,679 | Modulo: signals | Aviso: Usuario - "admin", realizou "Logout" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-07 21:30:40,970 | Modulo: signals | Aviso: Usuario - "poliana", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-07 21:31:08,143 | Modulo: signals | Aviso: Usuario - "poliana", realizou "Logout" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-07 21:31:11,480 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-08 07:35:21,013 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-08 08:35:04,621 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-08 08:43:58,718 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-08 08:45:49,550 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-08 08:48:14,124 | Modulo: signals | Aviso: Usuario - "admin", realizou "Logout" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-08 08:48:16,570 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-08 08:48:32,639 | Modulo: signals | Aviso: Usuario - "admin", realizou "Logout" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-08 08:48:36,598 | Modulo: signals | Aviso: Usuario - "poliana", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-08 08:52:13,586 | Modulo: signals | Aviso: Usuario - "poliana", realizou "Logout" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-08 11:02:17,184 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-08 11:02:41,284 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-08 17:35:30,462 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-09 12:24:28,909 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: INFO | Data: 2023-11-10 11:22:19,220 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: ERROR | Data: 2023-11-10 11:30:00,486 | Modulo: views | Aviso: Erro ao criar objeto - View: AndamentoAdmCreate - Erro: [Errno 2] No such file or directory: 'media/Arquivo\\Manual de utilização - Servidor de arquivos MyCloud.docx'
Level: INFO | Data: 2023-11-10 15:32:04,727 | Modulo: signals | Aviso: Usuario - "admin", realizou "Login" a partir do endereco IP: 127.0.0.1
Level: ERROR | Data: 2023-11-10 15:32:15,924 | Modulo: views | Aviso: Erro ao criar objeto - View: AndamentoAdmCreate - Erro: [Errno 2] No such file or directory: 'media/Arquivo\\RECURSO AO REPASSE DO INDICE DE ICMS - SÃO GABRIEL DO OESTE - MS  ok revisado.docx'
Level: ERROR | Data: 2023-11-10 15:33:13,965 | Modulo: views | Aviso: Erro ao criar objeto - View: AndamentoAdmCreate - Erro: [Errno 2] No such file or directory: 'media/Arquivo/RECURSO AO REPASSE DO INDICE DE ICMS - SÃO GABRIEL DO OESTE - MS  ok revisado (1).docx'
